gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
TTC8	ENSG00000165533	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.311091399418908	0.18454716533801	0.999815888338467	-0.0407359814741182	28
RPGRIP1L	ENSG00000103494	Urea	continuous	376551	pLoF	0.317409014159984	0.285405175989968	0.181503059450409	0.00192991095092714	96
TMEM216	ENSG00000187049	Cystatin C	continuous	376784	pLoF	0.318863905648377	0.830664858943904	0.232627395987306	-0.000508292720669573	13
NEK8	ENSG00000160602	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.32258859205932	0.499153225428348	0.19870176875143	0.0127457014437915	39
TMEM216	ENSG00000187049	Microalbumin in urine	continuous	119013	pLoF	0.329096848411196	0.44136405356795	0.244419037467537	-0.00369994073938452	13
BBS7	ENSG00000138686	Cystatin C	continuous	376784	pLoF	0.331573708304795	0.341482792371187	0.196142235296347	0.00209419828862593	39
SDCCAG8	ENSG00000054282	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.336281497125045	0.824076582405223	0.204427368745986	0.004127916440862	59
BBS10	ENSG00000179941	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.345482297990083	0.25065725875804	0.333070819957106	0.047088215240186	14
BBS7	ENSG00000138686	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.347865653275134	0.204890586392629	0.301428346232999	0.0260510819469799	39
BBS10	ENSG00000179941	Cystatin C	continuous	376784	pLoF	0.351225484035807	0.261557401656721	0.344885168311289	-0.00277037349309055	14
IFT172	ENSG00000138002	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.352919589054051	0.202797185075898	1.0	-0.0280771333539988	123
IFT140	ENSG00000187535	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.357433079551316	0.43044465657482	0.21961379444728	0.0162832727442099	82
BBS7	ENSG00000138686	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.357996973997988	0.214966413096675	0.263540611095775	-0.00285207088146089	39
BBS5	ENSG00000163093	Cystatin C	continuous	376784	pLoF	0.36005693775795	0.272701117907978	0.214065458444033	-0.00389592217389872	28
MKKS	ENSG00000125863	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.365269356594585	0.331325726538616	0.220166506296948	0.0273728693567203	37
TTC8	ENSG00000165533	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.367408387294116	0.342225164943287	0.22196534595562	0.00323305494022108	28
TMEM231	ENSG00000205084	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.374359877513061	0.224161400993763	0.999999250913546	-0.0391977887202245	31
TMEM67	ENSG00000164953	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.380213829393763	0.227895938434339	0.999819659951422	-0.035169879468548	86
BBS2	ENSG00000125124	Cystatin C	continuous	376784	pLoF	0.380784875699988	0.241564808136912	0.732671434793329	-0.0014402403486468	63
ZNF423	ENSG00000102935	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.381070774156199	0.721931505909219	0.235622622504946	0.00339191919133334	11
TMEM237	ENSG00000155755	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.382919630676328	0.231530871098455	0.969505013918675	-0.0226930173392656	44
CEP290	ENSG00000198707	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	0.383806156903976	0.224678993272797	0.999981504782181	-0.0268687152901603	253
CC2D2A	ENSG00000048342	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	0.386507197719757	0.59872491283498	0.240342529915905	0.0264425221512405	136
BBS2	ENSG00000125124	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.387978594591715	0.246572125878201	0.837156776747821	-0.0151914121712409	63
PKD2	ENSG00000118762	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.38812480241604	0.483927275845588	0.234120632157595	0.0243262992090026	39
CEP290	ENSG00000198707	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	0.388513920184385	0.227831186638831	1.0	-0.040218798674441	253
IFT122	ENSG00000163913	Cystatin C	continuous	376784	pLoF	0.391062849688046	0.918584332697408	0.242687621783531	0.000124339233478284	101
BBS7	ENSG00000138686	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.392238065885534	0.742985678819528	0.23504072315328	0.00995583599643129	39
NPHP3	ENSG00000113971	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.394468193493214	0.587272130876493	0.238557434095343	0.0106675312838791	115
