disease_id	has_chd	has_kidney	has_ckd	n_terms	n_systems
OMIM:132800	0	0	0	10	6
OMIM:132900	1	0	0	19	4
OMIM:133020	0	0	0	15	8
OMIM:133100	0	0	0	14	9
OMIM:133180	0	0	0	10	5
OMIM:133190	0	0	0	24	5
OMIM:133200	0	0	0	8	3
OMIM:133239	0	0	0	2	2
OMIM:133540	0	0	1	81	14
OMIM:133700	0	0	0	16	5
OMIM:133701	0	0	0	17	5
OMIM:133780	0	0	0	20	4
OMIM:134600	0	0	1	18	4
OMIM:134610	0	1	1	13	8
OMIM:135100	0	0	0	27	9
OMIM:135150	0	1	0	14	6
OMIM:135290	0	0	0	7	3
OMIM:135300	0	0	0	4	4
OMIM:135400	0	0	0	10	3
OMIM:135500	1	1	0	54	13
OMIM:135700	0	0	0	11	3
OMIM:135750	0	0	0	12	3
OMIM:135900	1	1	0	105	15
OMIM:136000	0	0	0	4	3
OMIM:136120	0	0	0	6	2
OMIM:136140	1	1	0	66	12
OMIM:136520	0	0	0	5	1
OMIM:136570	1	0	0	9	5
OMIM:136630	0	0	0	9	4
OMIM:136680	0	1	1	10	3
OMIM:136760	1	0	0	36	10
OMIM:136800	0	0	0	6	2
OMIM:136880	0	0	0	5	1
OMIM:136900	0	0	0	7	1
OMIM:137200	0	0	0	17	5
OMIM:137215	0	0	0	6	3
OMIM:137245	0	0	0	3	3
OMIM:137440	0	0	0	29	5
OMIM:137550	0	0	0	20	5
OMIM:137580	0	0	0	9	1
OMIM:137600	0	0	0	6	2
OMIM:137750	0	0	0	4	2
OMIM:137760	0	0	0	3	1
OMIM:137800	0	0	0	5	2
OMIM:137920	0	1	1	35	6
OMIM:137940	0	1	1	33	10
OMIM:138000	0	0	0	3	2
OMIM:138500	0	1	0	3	2
OMIM:138800	0	0	0	3	2
OMIM:138900	0	0	0	5	3
OMIM:139090	0	0	0	15	7
OMIM:139210	1	0	0	90	13
OMIM:139393	0	0	0	2	1
OMIM:140000	0	1	1	76	9
OMIM:140350	0	0	0	13	7
OMIM:140600	0	0	0	3	2
OMIM:140700	0	0	0	4	1
