gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
BBS1	ENSG00000174483	Cystatin C	continuous	376784	missense|LC	0.482606575878297	0.649977720720217	0.306241516406319	0.000182475056961447	318
BBS5	ENSG00000163093	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.483712276375883	0.338838442619874	0.877702497283573	-0.00770656710510771	150
CEP290	ENSG00000198707	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.483730239290475	0.53548145938615	0.300185581221831	0.00709254525619608	1033
TMEM216	ENSG00000187049	Cystatin C	continuous	376784	missense|LC	0.488341273717176	0.741559677557503	0.317524208233017	-0.000303612495773614	80
INVS	ENSG00000119509	Microalbumin in urine	continuous	119013	missense|LC	0.488787355911046	0.317106585620628	0.742892670241323	0.000544569904358899	513
NEK8	ENSG00000160602	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.495245199867366	0.919506691290674	0.299505630606665	0.00116513436595966	381
TMEM237	ENSG00000155755	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.499145250275008	0.30780309885711	1.0	-0.0400294069267222	181
BBS9	ENSG00000122507	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.502348048202785	0.407013340719503	0.318547335023072	-0.00880289890309719	436
LZTFL1	ENSG00000163818	Urea	continuous	376551	missense|LC	0.502388339353099	0.395893344391346	0.312894637099427	0.00109316773992689	106
MKKS	ENSG00000125863	Microalbumin in urine	continuous	119013	missense|LC	0.503420708137086	0.884765711684769	0.328029600770937	-9.2983406886147e-05	291
BBIP1	ENSG00000214413	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.5035191640707	0.334125204456385	0.35169289914421	-0.00263992058116295	25
IFT140	ENSG00000187535	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.507018563680753	0.311462774328829	0.761572068002387	-0.00769164873537557	974
IFT172	ENSG00000138002	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.507540772939643	0.913493863316813	0.317651924167585	3.03121338852633e-05	835
TMEM216	ENSG00000187049	Microalbumin in urine	continuous	119013	missense|LC	0.509787446404675	0.410395751194088	0.334674659713699	0.00152052208083487	80
