gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
BBIP1	ENSG00000214413	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.90137597126407	1.0	-0.0273606352683735	8
BBIP1	ENSG00000214413	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.90839842626714	0.99999995675358	-0.0269483645680833	8
BBIP1	ENSG00000214413	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.812362679253115	0.999958522618582	-0.0268646088473792	8
BBIP1	ENSG00000214413	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.85059951315108	0.999984516978394	-0.0270320360535788	8
EBF3	ENSG00000108001	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.9196258376454	0.999957040227393	-0.0401499222084213	4
EBF3	ENSG00000108001	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.919518256044251	0.999941543749251	-0.0401606736672614	4
EBF3	ENSG00000108001	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.965677714178554	0.999998347115688	-0.0400279098912625	4
EBF3	ENSG00000108001	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.946630000870293	0.999995951459954	-0.0400523685911053	4
EBF3	ENSG00000108001	N17 acute renal failure	icd_first_occurrence	7312	pLoF	1.0	0.812557645185106	0.99865251055247	-0.0407645007308385	4
EBF3	ENSG00000108001	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.891342482462215	0.999918516057474	-0.0402104017885714	4
EBF3	ENSG00000108001	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	1.0	0.811401514580775	0.999245239055128	-0.0406130937397389	4
EBF3	ENSG00000108001	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	1.0	0.829718554676187	0.999422836033707	-0.0404623418623569	4
EBF3	ENSG00000108001	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.972273721142784	0.999999073307697	-0.0400222786720734	4
EBF3	ENSG00000108001	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.976712071609711	0.999999180768458	-0.0400228998824086	4
EBF3	ENSG00000108001	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	1.0	0.813000236899848	0.999344444776512	-0.0405313778907493	4
EBF3	ENSG00000108001	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.968339864148095	0.999998632804011	-0.0400293538169111	4
EBF3	ENSG00000108001	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.92315427854691	0.999978512232706	-0.0401002804906406	4
EBF3	ENSG00000108001	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.943005348523496	0.999991834063611	-0.0400601899566115	4
HRAS	ENSG00000174775	Microalbumin in urine	continuous	119013	pLoF	1.0	0.974436272698825	0.87796759966592	-0.000200792945552705	10
HRAS	ENSG00000174775	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.895136475428055	0.980721541580592	0.00570254850994619	10
HRAS	ENSG00000174775	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.80263790414381	0.99007215976774	-0.040194135581214	10
HRAS	ENSG00000174775	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.795336075427939	0.988666186426461	-0.0401989189096793	10
HRAS	ENSG00000174775	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.784953455107961	0.976820450405836	-0.040194563047292	10
WT1	ENSG00000184937	Microalbumin in urine	continuous	119013	pLoF	1.0	0.86532906705001	1.0	0.00337465619305623	3
WT1	ENSG00000184937	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.874448553127928	1.0	-0.0401723406583536	3
WT1	ENSG00000184937	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.828409418975204	1.0	-0.0403581581204771	3
WT1	ENSG00000184937	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.94282572543201	1.0	-0.040040138716973	3
WT1	ENSG00000184937	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.900376485271102	1.0	-0.0401048335180039	3
WT1	ENSG00000184937	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.809161443204196	1.0	-0.0403542234754717	3
WT1	ENSG00000184937	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.958880118094965	1.0	-0.0400270058035853	3
WT1	ENSG00000184937	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.943769893572527	1.0	-0.0400436605056862	3
WT1	ENSG00000184937	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.947651985641181	1.0	-0.0400351599366473	3
WT1	ENSG00000184937	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.888196206830915	1.0	-0.0401159416541957	3
WT1	ENSG00000184937	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.924143942088406	1.0	-0.0400549672415337	3
TMEM216	ENSG00000187049	Urea	continuous	376551	pLoF	1.0	0.84037413757128	0.914027682318355	-0.000516952336990551	13
TMEM216	ENSG00000187049	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.862168003743258	0.951370275498987	0.00766337988161224	13
TMEM216	ENSG00000187049	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	1.0	0.931502504294816	0.911186902918811	0.00137686875711762	13
MEN1	ENSG00000133895	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.891640462317996	1.0	-0.0401068357785935	10
MEN1	ENSG00000133895	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.865193846795231	1.0	-0.0401504798552997	10
MEN1	ENSG00000133895	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.94384551451613	1.0	-0.0400278646497253	10
MEN1	ENSG00000133895	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.916190457819395	1.0	-0.0400679970189187	10
MEN1	ENSG00000133895	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.820030804141312	1.0	-0.0402248007508044	10
MEN1	ENSG00000133895	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.956840091886576	1.0	-0.0400226590138282	10
MEN1	ENSG00000133895	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.950566046380234	1.0	-0.0400308617292225	10
MEN1	ENSG00000133895	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.940670233082917	1.0	-0.0400308821248887	10
MEN1	ENSG00000133895	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.910169733125337	1.0	-0.0400549976378376	10
BBS1	ENSG00000174483	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.782391579472435	1.0	-0.0397431652021714	48
BBS1	ENSG00000174483	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	1.0	0.930872003457235	0.7711253626474	-0.00232213185242323	48
BBS1	ENSG00000174483	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.81597102828795	1.0	-0.0394103145801414	48
BBS1	ENSG00000174483	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.800654106183928	1.0	-0.0396838476810148	48
BBS1	ENSG00000174483	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.798383983390209	1.0	-0.0397021324158067	48
CCND1	ENSG00000110092	Urea	continuous	376551	pLoF	1.0	0.875883453985155	0.829325527868427	-0.00293200203396376	4
CCND1	ENSG00000110092	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.908367329844411	0.999949611341063	-0.0401780302252189	4
CCND1	ENSG00000110092	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.89425308278272	0.999895136684534	-0.0402439789539081	4
CCND1	ENSG00000110092	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.963620158886064	0.999998157129975	-0.0400352266825922	4
CCND1	ENSG00000110092	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.945419680317284	0.999991449946469	-0.0400725062129415	4
CCND1	ENSG00000110092	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.871511798475779	0.999863780543085	-0.0403100983503337	4
CCND1	ENSG00000110092	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	1.0	0.808770386679677	0.999065515060829	-0.040759411902741	4
CCND1	ENSG00000110092	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.978511550383918	0.999999346064267	-0.0400191120605182	4
CCND1	ENSG00000110092	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.970131971030999	0.999998364410346	-0.0400305185039922	4
CCND1	ENSG00000110092	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	1.0	0.807452056669862	0.999456520010631	-0.0406461023633371	4
CCND1	ENSG00000110092	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.969772871961789	0.999998690342171	-0.0400285618829635	4
CCND1	ENSG00000110092	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.932139060997072	0.99998964828298	-0.0400904186496436	4
CCND1	ENSG00000110092	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.945462992307254	0.999995304027582	-0.0400625383135956	4
CLPB	ENSG00000162129	Urea	continuous	376551	pLoF	1.0	0.797184343092671	0.954232283546755	0.000502666209950993	48
CLPB	ENSG00000162129	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.890012697833432	0.999999963581317	-0.00382031207555707	48
AMOTL1	ENSG00000166025	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.793389868367753	1.0	-0.0400576323811418	38
AMOTL1	ENSG00000166025	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.826837249358798	1.0	-0.0400510588649001	38
AMOTL1	ENSG00000166025	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.819824994387916	1.0	-0.0400584372386126	38
AMOTL1	ENSG00000166025	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.814015957445074	1.0	-0.0400495132411006	38
MMP1	ENSG00000196611	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.0	0.908836448639971	0.959335684988638	-0.0011082801308708	34
ALG9	ENSG00000086848	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.776277609458315	1.0	-0.0400595571229694	46
ALG9	ENSG00000086848	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.804519974782313	1.0	-0.0400587419270533	46
ALG9	ENSG00000086848	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.789963655598936	1.0	-0.0400559056611169	46
APOA1	ENSG00000118137	Urea	continuous	376551	pLoF	1.0	1.0	0.838086516869873	-9.09289326621351e-05	17
APOA1	ENSG00000118137	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.783608837478465	1.0	-0.0401391649719106	17
APOA1	ENSG00000118137	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.889056590192801	1.0	-0.0400389374873675	17
APOA1	ENSG00000118137	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.838846302322411	1.0	-0.0400693890673554	17
APOA1	ENSG00000118137	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.917387627738901	1.0	-0.0400275886397462	17
APOA1	ENSG00000118137	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.909503087974628	1.0	-0.0400352490672386	17
APOA1	ENSG00000118137	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.890448886492106	1.0	-0.0400393529183216	17
APOA1	ENSG00000118137	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.80160015087256	1.0	-0.0400904408341701	17
APOA1	ENSG00000118137	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.846796399961926	1.0	-0.0400596815697725	17
KLRC4	ENSG00000183542	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.830369334321063	1.0	-0.0401427267866702	3
KLRC4	ENSG00000183542	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	1.0	0.788643590747402	1.0	-0.0402194655889911	3
KLRC4	ENSG00000183542	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.914126751758811	1.0	-0.0400491203483202	3
KLRC4	ENSG00000183542	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.873790174350873	1.0	-0.040088156692488	3
KLRC4	ENSG00000183542	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.929748312414736	1.0	-0.0400438604231342	3
KLRC4	ENSG00000183542	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.930358755757717	1.0	-0.0400439992156469	3
KLRC4	ENSG00000183542	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.914994110478108	1.0	-0.0400489280711177	3
KLRC4	ENSG00000183542	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.84870730859865	1.0	-0.0400969538729368	3
KLRC4	ENSG00000183542	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.879175690011586	1.0	-0.0400692243015509	3
KMT2D	ENSG00000167548	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.849250631136426	1.0	-0.0372738631479261	28
KMT2D	ENSG00000167548	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.863386653878177	1.0	-0.0363603869409517	28
KMT2D	ENSG00000167548	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.864536892682965	1.0	-0.0368266111058411	28
KMT2D	ENSG00000167548	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.807829608467453	1.0	-0.0366546753918536	28
PAN2	ENSG00000135473	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.783305666029964	1.0	-0.0396951116941202	65
PAN2	ENSG00000135473	N17 acute renal failure	icd_first_occurrence	7312	pLoF	1.0	0.883085160993244	0.923936526567788	-0.00391122639287735	65
PAN2	ENSG00000135473	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.823943667952992	1.0	-0.0396951696300339	65
PAN2	ENSG00000135473	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.814867688144159	1.0	-0.0397414688514922	65
PAN2	ENSG00000135473	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.807802686526289	1.0	-0.0395425781850087	65
IFNG	ENSG00000111537	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.843629823099633	0.999999970909378	-0.0400852946266358	11
IFNG	ENSG00000111537	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.771722081041761	0.99999702128351	-0.0401101915639301	11
IFNG	ENSG00000111537	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.87345612039809	0.999999970589017	-0.0400771423972906	11
IFNG	ENSG00000111537	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.872940392629979	0.999999930026733	-0.0400833478872083	11
IFNG	ENSG00000111537	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.857092773680004	0.999999946859673	-0.0400792230410883	11
IFNG	ENSG00000111537	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.782357293574792	0.999989155962747	-0.0400882438773772	11
CEP290	ENSG00000198707	C64 Malignant neoplasm of kidney	icd10	985	pLoF	1.0	0.945862415007194	0.910275193606553	0.00114240602761482	253
CEP290	ENSG00000198707	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.848299924946161	0.917654837645124	-0.00677589859927793	253
BRCA2	ENSG00000139618	Microalbumin in urine	continuous	119013	pLoF	1.0	0.890470324863322	0.881508041881787	-0.000270034512327928	280
ALG5	ENSG00000120697	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.87239293513396	1.0	-0.0400505382921211	21
ALG5	ENSG00000120697	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.816978338788608	1.0	-0.0400946024404164	21
ALG5	ENSG00000120697	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	1.0	0.899990558238191	1.0	-0.0400368961520156	21
ALG5	ENSG00000120697	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	1.0	0.905370355597173	1.0	-0.0400326785978797	21
ALG5	ENSG00000120697	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	1.0	0.887358339139368	1.0	-0.0400419879556914	21
ALG5	ENSG00000120697	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.0	0.789132492416412	1.0	-0.0400957595017371	21
ALG5	ENSG00000120697	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	1.0	0.827404373583333	1.0	-0.0400693487767583	21
UBAC2	ENSG00000134882	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	1.0	0.856736529581535	1.0	-0.0400493360469835	21
UBAC2	ENSG00000134882	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	1.0	0.793856095843547	1.0	-0.0400795891525221	21
